ticker,form,mode,years_or_limit,timestamp
AAPL,10-K,year-range,2023,2025-08-24T16:35:01
AAPL,10-K,year-range,2024,2025-08-24T16:35:01
AAPL,10-K,year-range,2025,2025-08-24T16:35:01
AAPL,10-Q,year-range,2023,2025-08-24T16:35:01
AAPL,10-Q,year-range,2024,2025-08-24T16:35:01
AAPL,10-Q,year-range,2025,2025-08-24T16:35:01
MSFT,10-K,year-range,2023,2025-08-24T16:35:01
MSFT,10-K,year-range,2024,2025-08-24T16:35:01
MSFT,10-K,year-range,2025,2025-08-24T16:35:01
MSFT,10-Q,year-range,2023,2025-08-24T16:35:01
MSFT,10-Q,year-range,2024,2025-08-24T16:35:01
MSFT,10-Q,year-range,2025,2025-08-24T16:35:01
GOOGL,10-K,year-range,2023,2025-08-24T16:35:01
GOOGL,10-K,year-range,2024,2025-08-24T16:35:01
GOOGL,10-K,year-range,2025,2025-08-24T16:35:01
GOOGL,10-Q,year-range,2023,2025-08-24T16:35:01
GOOGL,10-Q,year-range,2024,2025-08-24T16:35:01
GOOGL,10-Q,year-range,2025,2025-08-24T16:35:01
AMZN,10-K,year-range,2023,2025-08-24T16:35:01
AMZN,10-K,year-range,2024,2025-08-24T16:35:01
AMZN,10-K,year-range,2025,2025-08-24T16:35:01
AMZN,10-Q,year-range,2023,2025-08-24T16:35:01
AMZN,10-Q,year-range,2024,2025-08-24T16:35:01
AMZN,10-Q,year-range,2025,2025-08-24T16:35:01
NVDA,10-K,year-range,2023,2025-08-24T16:35:01
NVDA,10-K,year-range,2024,2025-08-24T16:35:01
NVDA,10-K,year-range,2025,2025-08-24T16:35:01
NVDA,10-Q,year-range,2023,2025-08-24T16:35:01
NVDA,10-Q,year-range,2024,2025-08-24T16:35:01
NVDA,10-Q,year-range,2025,2025-08-24T16:35:01
META,10-K,year-range,2023,2025-08-24T16:35:01
META,10-K,year-range,2024,2025-08-24T16:35:01
META,10-K,year-range,2025,2025-08-24T16:35:01
META,10-Q,year-range,2023,2025-08-24T16:35:01
META,10-Q,year-range,2024,2025-08-24T16:35:01
META,10-Q,year-range,2025,2025-08-24T16:35:01
BRK-A,10-K,year-range,2023,2025-08-24T16:35:01
BRK-A,10-K,year-range,2024,2025-08-24T16:35:01
BRK-A,10-K,year-range,2025,2025-08-24T16:35:01
BRK-A,10-Q,year-range,2023,2025-08-24T16:35:01
BRK-A,10-Q,year-range,2024,2025-08-24T16:35:01
BRK-A,10-Q,year-range,2025,2025-08-24T16:35:01
TSLA,10-K,year-range,2023,2025-08-24T16:35:01
TSLA,10-K,year-range,2024,2025-08-24T16:35:01
TSLA,10-K,year-range,2025,2025-08-24T16:35:01
TSLA,10-Q,year-range,2023,2025-08-24T16:35:01
TSLA,10-Q,year-range,2024,2025-08-24T16:35:01
TSLA,10-Q,year-range,2025,2025-08-24T16:35:01
JPM,10-K,year-range,2023,2025-08-24T16:35:01
AAPL,10-K,year-range,2023,2025-08-24T16:38:27
AAPL,10-K,year-range,2024,2025-08-24T16:38:27
AAPL,10-K,year-range,2025,2025-08-24T16:38:27
AAPL,10-Q,year-range,2023,2025-08-24T16:38:27
AAPL,10-Q,year-range,2024,2025-08-24T16:38:27
AAPL,10-Q,year-range,2025,2025-08-24T16:38:27
MSFT,10-K,year-range,2023,2025-08-24T16:38:27
MSFT,10-K,year-range,2024,2025-08-24T16:38:27
MSFT,10-K,year-range,2025,2025-08-24T16:38:27
MSFT,10-Q,year-range,2023,2025-08-24T16:38:27
MSFT,10-Q,year-range,2024,2025-08-24T16:38:27
MSFT,10-Q,year-range,2025,2025-08-24T16:38:27
GOOGL,10-K,year-range,2023,2025-08-24T16:38:27
GOOGL,10-K,year-range,2024,2025-08-24T16:38:27
GOOGL,10-K,year-range,2025,2025-08-24T16:38:27
GOOGL,10-Q,year-range,2023,2025-08-24T16:38:27
GOOGL,10-Q,year-range,2024,2025-08-24T16:38:27
GOOGL,10-Q,year-range,2025,2025-08-24T16:38:27
AMZN,10-K,year-range,2023,2025-08-24T16:38:27
AMZN,10-K,year-range,2024,2025-08-24T16:38:27
AMZN,10-K,year-range,2025,2025-08-24T16:38:27
AMZN,10-Q,year-range,2023,2025-08-24T16:38:27
AMZN,10-Q,year-range,2024,2025-08-24T16:38:27
AMZN,10-Q,year-range,2025,2025-08-24T16:38:27
NVDA,10-K,year-range,2023,2025-08-24T16:38:27
NVDA,10-K,year-range,2024,2025-08-24T16:38:27
NVDA,10-K,year-range,2025,2025-08-24T16:38:27
NVDA,10-Q,year-range,2023,2025-08-24T16:38:27
NVDA,10-Q,year-range,2024,2025-08-24T16:38:27
NVDA,10-Q,year-range,2025,2025-08-24T16:38:27
META,10-K,year-range,2023,2025-08-24T16:38:27
META,10-K,year-range,2024,2025-08-24T16:38:27
META,10-K,year-range,2025,2025-08-24T16:38:27
META,10-Q,year-range,2023,2025-08-24T16:38:27
META,10-Q,year-range,2024,2025-08-24T16:38:27
META,10-Q,year-range,2025,2025-08-24T16:38:27
BRK-A,10-K,year-range,2023,2025-08-24T16:38:27
BRK-A,10-K,year-range,2024,2025-08-24T16:38:27
BRK-A,10-K,year-range,2025,2025-08-24T16:38:27
BRK-A,10-Q,year-range,2023,2025-08-24T16:38:27
BRK-A,10-Q,year-range,2024,2025-08-24T16:38:27
BRK-A,10-Q,year-range,2025,2025-08-24T16:38:27
TSLA,10-K,year-range,2023,2025-08-24T16:38:27
TSLA,10-K,year-range,2024,2025-08-24T16:38:27
TSLA,10-K,year-range,2025,2025-08-24T16:38:27
TSLA,10-Q,year-range,2023,2025-08-24T16:38:27
TSLA,10-Q,year-range,2024,2025-08-24T16:38:27
TSLA,10-Q,year-range,2025,2025-08-24T16:38:27
